,ACCOUNT_NUM.hash,TARIFF_NAME,BB_Package,TARIFF_ID,BSS Name,Attribute,MEDIUM_INFO
4609,b053bbb012c17bbc54ea279c6d9fa034,Web Family Plus,Web Family Plus,25627.0,Web Mate,Access Link Type,COPPER
4610,af23f2376138283809fac7fe6ab8866c,Web Starter,Web Starter,25631.0,Web Starter,Access Link Type,COPPER
4611,687b491bf6c2e01f7ce625cdbe82db29,Web Pal,Web PAL,25632.0,Web Pal,Access Link Type,COPPER
4612,f2291ef84e409b5237fe4f2fa55613ae,Web Family Plus,Web Family Plus,25627.0,Web Mate,Access Link Type,COPPER
4613,87cd775edc9cfc4f401e6ff39f239833,Web Lite,Web LITE,25646.0,Web Lite,Access Link Type,COPPER
4614,e56fdc924d8da3d53202f39e1440d6e8,Web Lite,Web LITE,25646.0,Web Lite,Access Link Type,COPPER
4615,fc7024e855a03603472e20244eadba00,z Sales End_Office,z Sales End_Office,25603.0,Office,Access Link Type,COPPER
4616,44224bc1e2e7101c90bbad70dbcc5a6c,Any Flix,Any Flix,36747.0,Any Flix,Access Link Type,LTE
4617,771c34ac5cc715fcb165b26fbf100e0c,Broadband Experience Package,Broadband Experience Package,25623.0,Broadband Experience Package,Access Link Type,COPPER
4618,701386e60c78ce13a256b7ee56ecea73,Student Package 1,Student Package 1,25638.0,Student Package 1,Access Link Type,COPPER
4619,500ab66d965c6ad74f2ffa6ec3dc9cfa,Web Lite,Web LITE,25646.0,Web Lite,Access Link Type,COPPER
4620,25e6e2871bd9e32697f383a060b5dc52,Web Lite,Web LITE,25646.0,Web Lite,Access Link Type,COPPER
4621,d09eecf7514c4f491ea43fec18e3c915,Any Flix,Any Flix,36747.0,Any Flix,Access Link Type,LTE
4622,d486a40aae141a60f6431e1d0e3a99dc,Web Family Plus,Web Family Plus,25627.0,Web Mate,Access Link Type,COPPER
4623,7e79e6aa74fc5842f3cdfc8aecee0bf1,Web Lite,Web LITE,25646.0,Web Lite,Access Link Type,COPPER
4624,c8c238680a3c1e42e2302d326652f097,Web Lite,Web LITE,25646.0,Web Lite,Access Link Type,COPPER
4625,9886d2e4e61e33d0a4388667c7bfc68c,z Sales End_Home,z Sales End_Home,25604.0,Home,Access Link Type,COPPER
4626,6fe425ac9cce6611b2ac578c09d0755d,Web Family Xtra,Web Family Xtra,25628.0,Web Surfer,Access Link Type,COPPER
4627,72468a66915ec413e33079dd8cc383e2,Web Lite,Web LITE,25646.0,Web Lite,Access Link Type,COPPER
4628,cc88c49f580c13600e99dfd9920d05e9,Web Life,Web Life,25634.0,Web Life,Access Link Type,COPPER
4629,d3e013aa511a9cfa73d20b8c393a5fd1,Web Family Plus,Web Family Plus,25627.0,Web Mate,Access Link Type,COPPER
4630,17245ee21a9c5e97634694365e01fea3,Student Package 1,Student Package 1,25638.0,Student Package 1,Access Link Type,COPPER
4631,47e7a4bf3fb895ef1ca4a43c8389f289,Web Lite,Web LITE,25646.0,Web Lite,Access Link Type,COPPER
4632,55619415b9de28ef8af1650300da5a1c,Broadband Experience Package,Broadband Experience Package,25623.0,Broadband Experience Package,Access Link Type,COPPER
4633,f03ccb39f045b89ed6bc9692cade47a5,Web Lite,Web LITE,25646.0,Web Lite,Access Link Type,COPPER
4634,99d185890f3919d557b4483db97eb1a2,Web Lite,Web LITE,25646.0,Web Lite,Access Link Type,COPPER
4635,0d59eb86d8e340c1a071e6901e85a49d,Student Package 2,Student Package 2,25639.0,Student Package 2,Access Link Type,COPPER
4636,54cb562e369f3dbe7e74f5dbde5268bf,Web Lite,Web LITE,25646.0,Web Lite,Access Link Type,COPPER
4637,3de7bd21e12755670cbe46af9274d889,Broadband Experience Package,Broadband Experience Package,25623.0,Broadband Experience Package,Access Link Type,COPPER
4638,1d3867506cf21bde45bfa05a30476ce6,Broadband Experience Package,Broadband Experience Package,25623.0,Broadband Experience Package,Access Link Type,COPPER
