,201908,201910,201911,201912,202001,202002,202003,202004,202005,202006,202007,202008,Usage_Rating_Scaled,Usage_Rating_Categorical
year-month,,,,,,,,,,,,,,
PSTN.hash,,,,,,,,,,,,,,
1cfa0cd56534abc01792cc73fbc771de,0.75,0.5625,0.375,0.25,0.5625,0.5,0.375,0.75,0.75,0.75,0.75,0.75,0.59375,MEDIUM
1d23b898c532030508a5938ec061f708,0.0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.22916666666666666,LOW
1d6f0ffdce6d98064083dcd7b2d4db13,0.16666666666666666,0.1875,0.125,0.125,0.375,0.0625,0.0,0.0,0.25,0.125,0.25,0.25,0.1597222222222222,LOW
1d72dadfa69c84e5a5fd0e2a0cd7b626,0.08333333333333333,0.125,0.375,0.375,0.375,0.5,0.375,0.75,0.5625,0.375,0.375,0.5625,0.40277777777777773,MEDIUM
1dc533c9c85a488194977804cfe365c5,0.16666666666666666,0.375,0.375,0.25,0.75,0.75,1.0,0.75,1.0,0.75,0.75,0.5,0.6180555555555555,MEDIUM
1ddfe1fd90788f094950858964a7630f,0.08333333333333333,0.125,0.0625,0.0625,0.0625,0.125,0.125,0.125,0.125,0.0625,0.0625,0.0625,0.09027777777777778,LOW
1e263af601a0dee17d33b4845c98bd79,0.0,0.5625,0.375,0.5,0.125,0.0625,0.0625,0.5,0.75,0.75,0.125,0.75,0.3802083333333333,MEDIUM
1e2b5fdb448b0930457a8ed9779b556a,0.0,0.0,0.0625,0.5625,0.5625,0.5625,0.75,0.75,0.375,0.5625,0.375,0.375,0.4114583333333333,MEDIUM
1e372417c0913db6ce0c7dda2a6929f8,0.16666666666666666,0.25,0.125,0.125,0.375,0.5,0.25,0.0625,0.125,0.0,0.0625,0.125,0.18055555555555555,LOW
1e4c13e737c18ae2f2e8b039da828bd8,0.0,0.0,0.0,0.0625,0.5,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.057291666666666664,LOW
1e5f7556315eefe1f3ef0429cafd516e,0.16666666666666666,0.25,0.25,0.25,0.125,0.125,0.25,0.375,0.375,0.25,0.25,0.125,0.23263888888888887,LOW
1ead83a364ebf2e3c298b8664c661d58,0.75,0.75,0.5625,0.75,0.75,0.75,1.0,1.0,1.0,0.5625,0.75,0.5625,0.765625,HIGH
